Service,Age,CustomerSince,Customer Gender,Region,SupportCallsLastYear,AverageBill,ChurnIndicator,Satisfaction Score,,
phone,67,7/10/2010 10:27,M,Central,0,88,0.01,3,,
phone,64,7/11/2010 10:27,F,South,7,75,0.34,5,,
4G,29,7/11/2010 10:27,F,Central,3,44,0.09,4,,
phone,49,7/11/2010 10:27,M,Central,3,60,0.05,7,,
phone,45,7/11/2010 10:27,F,North,4,103,0.03,10,,
landline,57,7/11/2010 10:27,F,Central,1,80,0.01,6,,
4G,58,7/12/2010 10:27,F,North,1,44,0.05,8,,
phone,39,7/12/2010 10:27,M,North,1,65,0.02,3,,
phone,75,7/12/2010 10:27,F,South,0,86,0.01,3,,
4G,66,7/13/2010 10:27,M,Central,0,44,0.02,6,,
landline,32,7/13/2010 10:27,F,Central,1,54,0.01,8,,
4G,63,7/14/2010 10:27,M,North,10,45,0.25,3,,
4G,73,7/14/2010 10:27,F,South,5,58,0.11,4,,
4G,33,7/14/2010 10:27,F,Central,1,51,0.04,6,,
4G,38,7/14/2010 10:27,M,South,1,105,0.72,2,,
4G,38,7/14/2010 10:27,F,Central,0,85,0.01,6,,
landline,66,7/14/2010 10:27,F,North,0,86,0.00,9,,
4G,60,7/15/2010 10:27,F,North,4,32,0.18,7,,
4G,46,7/15/2010 10:27,F,Central,1,57,0.13,6,,
4G,64,7/15/2010 10:27,M,Central,0,111,0.10,7,,
4G,64,7/15/2010 10:27,M,Central,0,111,0.10,7,,
4G,53,7/15/2010 10:27,M,South,6,83,0.09,7,,
landline,18,7/15/2010 10:27,M,Central,6,89,0.03,6,,
landline,76,7/15/2010 10:27,M,South,1,75,0.01,5,,
4G,54,7/16/2010 10:27,F,North,6,47,0.15,5,,
fiber,26,7/16/2010 10:27,F,Central,1,46,0.06,7,,
landline,55,7/16/2010 10:27,M,North,1,97,0.05,5,,
phone,45,7/16/2010 10:27,F,North,0,35,0.02,6,,
4G,76,7/16/2010 10:27,F,North,0,55,0.02,4,,
landline,27,7/16/2010 10:27,F,North,2,,0.01,10,,
4G,59,7/16/2010 10:27,M,Central,0,99,0.01,3,,
fiber,32,7/17/2010 10:27,F,North,0,103,0.09,9,,
fiber,37,7/17/2010 10:27,F,South,4,94,0.07,4,,
4G,68,7/17/2010 10:27,M,Central,6,103,0.07,7,,
phone,61,7/17/2010 10:27,F,Central,1,47,0.03,4,,
landline,41,7/17/2010 10:27,F,North,4,69,0.03,9,,
4G,39,7/17/2010 10:27,F,Central,1,83,0.03,7,,
phone,54,7/18/2010 10:27,F,North,10,72,0.10,7,,
fiber,42,7/18/2010 10:27,F,Central,1,36,0.08,9,,
4G,20,7/18/2010 10:27,M,Central,1,35,0.06,3,,
phone,76,7/18/2010 10:27,F,North,0,91,0.01,4,,
fiber,74,7/19/2010 10:27,F,Central,7,31,0.35,3,,
fiber,59,7/19/2010 10:27,F,South,0,31,0.04,7,,
phone,75,7/20/2010 10:27,F,Central,9,95,0.07,3,,
4G,54,7/20/2010 10:27,F,South,2,77,0.04,5,,
4G,44,7/20/2010 10:27,M,Central,0,110,0.01,4,,
phone,78,7/20/2010 10:27,F,South,0,83,0.01,3,,
4G,45,7/21/2010 10:27,M,South,4,67,0.32,3,,
4G,74,7/21/2010 10:27,F,South,2,50,0.06,3,,
phone,49,7/21/2010 10:27,F,South,1,78,0.06,6,,
4G,25,7/21/2010 10:27,M,Central,0,94,0.06,6,,
phone,34,7/21/2010 10:27,M,Central,3,57,0.05,7,,
landline,26,7/21/2010 10:27,M,Central,1,73,0.04,3,,
landline,42,7/21/2010 10:27,M,Central,0,55,0.03,5,,
phone,28,7/21/2010 10:27,F,Central,1,77,0.02,7,,
4G,37,7/22/2010 10:27,F,South,1,49,0.04,3,,
landline,66,7/22/2010 10:27,M,Central,0,75,0.03,7,,
phone,22,7/22/2010 10:27,M,North,1,59,0.02,6,,
landline,34,7/22/2010 10:27,M,Central,3,101,0.01,4,,
phone,62,7/22/2010 10:27,M,Central,0,106,0.01,9,,
landline,33,7/22/2010 10:27,F,North,0,99,0.00,9,,
4G,77,7/23/2010 10:27,M,South,7,34,0.24,4,,
landline,50,7/23/2010 10:27,M,Central,9,43,0.23,4,,
4G,54,7/23/2010 10:27,F,North,1,34,0.06,6,,
fiber,61,7/23/2010 10:27,F,North,1,67,0.04,9,,
4G,40,7/23/2010 10:27,F,North,3,105,0.04,5,,
phone,58,7/23/2010 10:27,M,North,3,80,0.03,8,,
fiber,70,7/23/2010 10:27,F,North,0,82,0.02,4,,
landline,65,7/23/2010 10:27,F,South,2,107,0.01,6,,
4G,49,7/24/2010 10:27,M,Central,8,115,0.84,4,,
phone,58,7/24/2010 10:27,F,North,6,92,0.32,8,,
phone,29,7/24/2010 10:27,F,Central,6,50,0.10,7,,
4G,36,7/24/2010 10:27,F,Central,0,67,0.07,4,,
landline,25,7/24/2010 10:27,M,South,5,58,0.04,5,,
phone,20,7/24/2010 10:27,F,Central,2,105,0.02,4,,
4G,53,7/24/2010 10:27,F,North,0,56,0.02,10,,
4G,62,7/24/2010 10:27,M,South,0,84,0.01,8,,
landline,47,7/24/2010 10:27,F,North,2,100,0.01,6,,
4G,61,7/25/2010 10:27,M,South,9,109,0.09,4,,
4G,46,7/25/2010 10:27,M,North,0,43,0.09,4,,
phone,46,7/25/2010 10:27,F,South,5,78,0.05,9,,
landline,28,7/25/2010 10:27,F,South,1,52,0.90,2,,
4G,19,7/25/2010 10:27,F,Central,1,73,0.03,10,,
fiber,52,7/25/2010 10:27,F,Central,0,100,0.01,8,,
phone,59,7/25/2010 10:27,F,Central,1,110,0.01,9,,
phone,64,7/25/2010 10:27,M,Central,0,86,0.80,3,,
4G,29,7/26/2010 10:27,F,Central,7,56,0.15,9,,
phone,65,7/26/2010 10:27,M,Central,6,80,0.06,7,,
phone,59,7/26/2010 10:27,F,North,3,62,0.04,10,,
phone,44,7/26/2010 10:27,M,South,4,85,0.04,7,,
4G,57,7/26/2010 10:27,M,Central,0,80,0.04,6,,
phone,45,7/26/2010 10:27,M,North,0,108,0.04,4,,
phone,65,7/26/2010 10:27,M,South,0,115,0.03,4,,
phone,37,7/26/2010 10:27,M,North,3,107,0.03,7,,
fiber,74,7/27/2010 10:27,M,Central,9,85,0.47,4,,
fiber,51,7/27/2010 10:27,F,South,1,48,0.06,5,,
4G,60,7/28/2010 10:27,M,Central,4,68,0.70,2,,
4G,45,7/28/2010 10:27,F,Central,3,118,0.18,5,,
fiber,30,7/28/2010 10:27,F,North,3,61,0.09,10,,
phone,45,7/28/2010 10:27,M,Central,7,71,0.80,2,,
4G,79,7/28/2010 10:27,F,Central,1,48,0.04,4,,
phone,53,7/28/2010 10:27,F,South,1,108,0.01,7,,
landline,41,7/28/2010 10:27,M,Central,2,108,0.01,6,,
phone,67,7/28/2010 10:27,F,Central,0,76,0.01,5,,
4G,63,7/28/2010 10:27,F,North,0,108,0.01,4,,
4G,53,7/29/2010 10:27,F,Central,1,89,0.02,5,,
4G,60,7/29/2010 10:27,F,South,0,73,0.85,2,,
4G,67,7/29/2010 10:27,F,North,0,107,0.01,5,,
landline,36,7/29/2010 10:27,M,North,1,93,0.01,7,,
fiber,36,7/30/2010 10:27,F,Central,1,97,0.03,6,,
4G,23,7/30/2010 10:27,F,Central,0,42,0.02,6,,
phone,64,7/30/2010 10:27,F,Central,0,59,0.01,10,,
landline,40,7/30/2010 10:27,F,South,0,66,0.01,6,,
landline,22,7/30/2010 10:27,F,South,0,107,0.00,6,,
4G,62,7/31/2010 10:27,M,North,10,60,0.92,1,,
4G,79,7/31/2010 10:27,F,North,3,46,0.19,9,,
phone,51,7/31/2010 10:27,M,South,1,37,0.04,6,,
4G,18,7/31/2010 10:27,M,North,1,92,0.02,8,,
phone,52,7/31/2010 10:27,M,Central,0,67,0.01,7,,
fiber,28,8/1/2010 10:27,F,Central,3,57,0.10,7,,
phone,64,8/1/2010 10:27,M,South,2,46,0.04,8,,
phone,20,8/1/2010 10:27,F,Central,0,34,0.03,7,,
4G,53,8/1/2010 10:27,M,North,1,82,0.03,4,,
landline,56,8/1/2010 10:27,M,Central,0,31,0.02,6,,
4G,30,8/1/2010 10:27,M,Central,0,98,0.01,7,,
fiber,32,8/2/2010 10:27,F,Central,7,80,0.14,6,,
phone,28,8/2/2010 10:27,F,Central,3,98,0.12,8,,
phone,37,8/2/2010 10:27,M,South,9,78,0.09,5,,
4G,39,8/2/2010 10:27,F,Central,0,39,0.03,7,,
4G,78,8/2/2010 10:27,M,North,1,91,0.02,6,,
fiber,60,8/2/2010 10:27,F,North,0,95,0.01,7,,
4G,60,8/2/2010 10:27,M,Central,0,101,0.01,7,,
fiber,61,8/3/2010 10:27,F,South,0,60,0.05,5,,
phone,45,8/3/2010 10:27,F,Central,0,38,0.02,8,,
4G,50,8/3/2010 10:27,F,South,0,103,0.01,8,,
landline,48,8/4/2010 10:27,M,North,1,93,0.01,2,,
phone,55,8/5/2010 10:27,M,Central,6,66,0.32,5,,
4G,72,8/5/2010 10:27,M,South,9,87,0.12,3,,
fiber,49,8/5/2010 10:27,M,South,1,89,0.10,6,,
phone,63,8/5/2010 10:27,M,Central,1,116,0.07,7,,
phone,49,8/5/2010 10:27,M,South,0,73,0.01,5,,
4G,71,8/6/2010 10:27,M,Central,2,113,0.17,4,,
fiber,30,8/6/2010 10:27,F,North,9,92,0.15,5,,
fiber,50,8/6/2010 10:27,F,North,2,67,0.06,5,,
4G,49,8/6/2010 10:27,M,Central,1,47,0.04,5,,
phone,29,8/6/2010 10:27,F,Central,3,70,0.04,3,,
4G,47,8/6/2010 10:27,M,Central,1,62,0.03,7,,
phone,33,8/6/2010 10:27,M,Central,1,98,0.01,4,,
landline,34,8/6/2010 10:27,F,North,0,45,0.01,9,,
phone,28,8/6/2010 10:27,F,Central,0,96,0.01,7,,
landline,71,8/7/2010 10:27,F,Central,4,106,0.07,4,,
phone,63,8/7/2010 10:27,M,North,5,86,0.05,6,,
fiber,58,8/7/2010 10:27,M,Central,2,90,0.05,8,,
phone,78,8/7/2010 10:27,M,Central,3,79,0.03,8,,
fiber,29,8/7/2010 10:27,M,Central,0,83,0.02,5,,
phone,26,8/8/2010 10:27,F,South,2,59,0.03,6,,
landline,42,8/8/2010 10:27,M,Central,7,107,0.03,8,,
phone,75,8/8/2010 10:27,M,Central,2,109,0.02,5,,
4G,44,8/9/2010 10:27,M,North,5,48,0.13,5,,
landline,27,8/9/2010 10:27,F,North,2,95,0.09,10,,
4G,74,8/9/2010 10:27,F,Central,0,51,0.02,5,,
4G,41,8/9/2010 10:27,M,North,1,106,0.02,7,,
4G,38,8/9/2010 10:27,M,North,0,59,0.02,7,,
phone,40,8/9/2010 10:27,M,Central,0,43,0.02,7,,
4G,41,8/9/2010 10:27,F,Central,0,73,0.01,10,,
4G,28,8/9/2010 10:27,F,Central,0,84,0.01,6,,
4G,67,8/9/2010 10:27,F,Central,0,107,0.01,5,,
phone,57,8/10/2010 10:27,F,South,1,120,0.08,4,,
phone,62,8/10/2010 10:27,F,Central,4,48,0.07,6,,
phone,20,8/10/2010 10:27,M,South,1,33,0.04,6,,
4G,69,8/10/2010 10:27,F,South,3,108,0.04,7,,
landline,75,8/10/2010 10:27,F,Central,4,80,0.02,8,,
phone,69,8/10/2010 10:27,F,North,1,86,0.02,7,,
fiber,25,8/10/2010 10:27,F,North,0,89,0.02,8,,
phone,31,8/11/2010 10:27,M,North,9,78,0.09,7,,
fiber,68,8/11/2010 10:27,F,North,0,77,0.02,7,,
phone,25,8/11/2010 10:27,M,Central,0,68,0.01,4,,
landline,52,8/11/2010 10:27,F,Central,0,79,0.00,7,,
phone,69,8/12/2010 10:27,F,North,2,46,0.04,10,,
4G,38,8/12/2010 10:27,F,South,0,107,0.04,7,,
4G,39,8/12/2010 10:27,M,Central,1,102,0.77,2,,
phone,41,8/12/2010 10:27,F,Central,1,72,0.02,9,,
phone,50,8/12/2010 10:27,F,Central,0,76,0.01,8,,
phone,78,8/12/2010 10:27,F,Central,0,93,0.01,4,,
4G,52,8/13/2010 10:27,F,Central,8,43,0.21,7,,
phone,33,8/13/2010 10:27,M,Central,1,106,0.05,5,,
4G,66,8/13/2010 10:27,M,North,3,82,0.05,6,,
4G,22,8/13/2010 10:27,M,South,1,52,0.04,8,,
fiber,44,8/13/2010 10:27,M,Central,0,48,0.03,7,,
landline,25,8/13/2010 10:27,F,Central,1,96,0.03,7,,
phone,38,8/13/2010 10:27,M,South,1,60,0.02,3,,
fiber,26,8/14/2010 10:27,M,Central,9,81,0.17,4,,
landline,21,8/14/2010 10:27,F,North,1,31,0.05,10,,
landline,73,8/14/2010 10:27,F,Central,2,95,0.01,4,,
phone,72,8/15/2010 10:27,M,South,6,91,0.05,6,,
4G,67,8/15/2010 10:27,M,Central,3,97,0.04,5,,
phone,31,8/15/2010 10:27,F,Central,3,84,0.03,6,,
phone,72,8/15/2010 10:27,F,Central,0,32,0.02,4,,
phone,47,8/15/2010 10:27,M,North,0,56,0.01,7,,
fiber,31,8/16/2010 10:27,F,North,2,56,0.07,6,,
4G,62,8/16/2010 10:27,F,North,0,67,0.02,9,,
fiber,23,8/16/2010 10:27,M,Central,0,101,0.84,2,,
phone,22,8/16/2010 10:27,F,Central,0,57,0.01,7,,
fiber,52,8/17/2010 10:27,F,North,4,40,0.17,4,,
landline,28,8/17/2010 10:27,M,South,2,70,0.01,4,,
4G,41,8/18/2010 10:27,F,Central,2,75,0.04,5,,
phone,58,8/18/2010 10:27,F,Central,0,43,0.02,4,,
phone,79,8/18/2010 10:27,F,Central,0,90,0.01,4,,
landline,21,8/18/2010 10:27,F,South,0,98,0.00,6,,
landline,20,8/18/2010 10:27,M,North,0,103,0.00,3,,
4G,30,8/19/2010 10:27,M,Central,3,51,0.17,7,,
4G,54,8/19/2010 10:27,F,North,2,55,0.06,5,,
phone,71,8/19/2010 10:27,M,South,0,119,0.05,3,,
landline,32,8/19/2010 10:27,M,South,4,39,0.04,6,,
4G,22,8/19/2010 10:27,M,Central,0,36,0.03,5,,
4G,58,8/19/2010 10:27,M,Central,0,54,0.02,5,,
phone,37,8/19/2010 10:27,F,North,0,103,0.01,8,,
4G,30,8/20/2010 10:27,M,North,0,48,0.08,5,,
4G,29,8/20/2010 10:27,F,North,2,60,0.05,9,,
phone,36,8/20/2010 10:27,F,Central,0,58,0.05,9,,
4G,57,8/20/2010 10:27,M,South,1,72,0.03,6,,
4G,37,8/20/2010 10:27,M,North,1,79,0.03,6,,
fiber,44,8/20/2010 10:27,M,Central,0,85,0.02,3,,
phone,55,8/20/2010 10:27,M,Central,0,64,0.70,3,,
landline,36,8/21/2010 10:27,F,South,10,54,0.07,7,,
landline,63,8/21/2010 10:27,F,North,1,71,0.04,7,,
phone,61,8/21/2010 10:27,M,South,0,56,0.92,2,,
4G,25,8/22/2010 10:27,M,North,4,57,0.36,2,,
4G,21,8/22/2010 10:27,F,South,1,98,0.08,3,,
fiber,48,8/22/2010 10:27,M,South,1,51,0.05,8,,
4G,55,8/23/2010 10:27,F,Central,1,39,0.05,6,,
4G,72,8/23/2010 10:27,F,Central,3,103,0.04,10,,
phone,55,8/23/2010 10:27,F,North,1,75,0.02,5,,
phone,80,8/23/2010 10:27,M,Central,0,50,0.30,4,,
4G,40,8/23/2010 10:27,F,Central,0,77,0.01,8,,
landline,50,8/23/2010 10:27,F,Central,0,81,0.00,7,,
landline,19,8/25/2010 10:27,M,Central,4,63,0.07,6,,
4G,40,8/25/2010 10:27,F,South,0,31,0.03,7,,
4G,65,8/25/2010 10:27,F,North,0,60,0.02,6,,
fiber,58,8/25/2010 10:27,M,Central,0,99,0.01,9,,
4G,59,8/25/2010 10:27,F,South,0,82,0.01,4,,
4G,32,8/25/2010 10:27,F,North,0,83,0.01,8,,
phone,26,8/25/2010 10:27,F,South,0,67,0.01,5,,
fiber,68,8/26/2010 10:27,F,Central,6,94,0.10,8,,
4G,62,8/26/2010 10:27,F,North,2,48,0.06,9,,
phone,43,8/26/2010 10:27,F,Central,1,72,0.02,6,,
4G,26,8/26/2010 10:27,F,Central,0,69,0.02,8,,
phone,57,8/26/2010 10:27,M,Central,0,56,0.01,5,,
phone,40,8/26/2010 10:27,M,North,0,98,0.01,6,,
landline,22,8/26/2010 10:27,M,Central,0,105,0.00,5,,
fiber,57,8/27/2010 10:27,F,South,0,33,0.40,3,,
fiber,70,8/27/2010 10:27,M,Central,1,69,0.04,5,,
fiber,41,8/27/2010 10:27,M,Central,0,81,0.02,8,,
phone,55,8/27/2010 10:27,F,Central,0,93,0.01,4,,
phone,57,8/28/2010 10:27,M,North,6,59,0.23,8,,
4G,25,8/28/2010 10:27,M,North,3,63,0.06,6,,
phone,67,8/28/2010 10:27,F,North,0,115,0.06,10,,
4G,54,8/28/2010 10:27,F,Central,0,69,0.06,6,,
phone,66,8/28/2010 10:27,M,Central,0,76,0.05,6,,
phone,28,8/28/2010 10:27,M,North,5,91,0.04,8,,
4G,32,8/28/2010 10:27,M,Central,1,47,0.04,6,,
phone,20,8/28/2010 10:27,M,North,1,37,0.04,8,,
fiber,61,8/28/2010 10:27,F,South,0,38,0.04,4,,
landline,35,8/28/2010 10:27,F,North,4,78,0.02,9,,
phone,55,8/28/2010 10:27,M,North,1,99,0.01,5,,
4G,52,8/28/2010 10:27,M,Central,0,95,0.01,6,,
landline,42,8/28/2010 10:27,F,Central,1,102,0.01,5,,
landline,45,8/28/2010 10:27,F,North,0,106,0.00,10,,
4G,63,8/29/2010 10:27,M,South,10,92,0.12,4,,
4G,64,8/29/2010 10:27,F,Central,1,50,0.10,6,,
4G,21,8/29/2010 10:27,M,South,3,64,0.06,6,,
phone,31,8/29/2010 10:27,F,Central,1,97,0.01,4,,
phone,50,8/29/2010 10:27,F,Central,1,98,0.01,3,,
landline,22,8/29/2010 10:27,F,Central,0,99,0.00,8,,
fiber,70,8/30/2010 10:27,M,North,9,76,0.18,5,,
phone,71,8/30/2010 10:27,F,Central,1,39,0.05,8,,
phone,30,8/30/2010 10:27,F,North,4,74,0.05,6,,
landline,35,8/30/2010 10:27,M,Central,3,67,0.02,9,,
phone,76,8/30/2010 10:27,F,North,1,108,0.01,8,,
4G,34,8/30/2010 10:27,F,Central,0,93,0.01,7,,
phone,49,8/30/2010 10:27,F,North,0,97,0.01,7,,
4G,64,8/31/2010 10:27,F,North,9,99,0.44,7,,
phone,39,8/31/2010 10:27,M,North,2,53,0.04,4,,
phone,43,8/31/2010 10:27,M,North,1,64,0.02,7,,
landline,60,8/31/2010 10:27,F,Central,0,100,0.02,10,,
landline,48,8/31/2010 10:27,M,North,0,31,0.01,7,,
landline,77,9/1/2010 10:27,F,North,10,32,0.65,3,,
phone,45,9/1/2010 10:27,F,North,8,75,0.08,7,,
4G,55,9/1/2010 10:27,M,North,1,85,0.02,4,,
4G,21,9/1/2010 10:27,F,North,0,45,0.02,8,,
phone,53,9/1/2010 10:27,F,Central,0,104,0.01,9,,
4G,61,9/2/2010 10:27,M,South,1,72,0.12,3,,
phone,52,9/2/2010 10:27,F,South,3,74,0.04,3,,
fiber,18,9/2/2010 10:27,F,Central,1,100,0.03,9,,
fiber,38,9/2/2010 10:27,F,South,0,77,0.02,7,,
4G,26,9/3/2010 10:27,M,South,10,50,0.83,1,,
phone,55,9/3/2010 10:27,F,Central,10,52,0.14,8,,
phone,55,9/3/2010 10:27,F,Central,8,97,0.06,6,,
fiber,27,9/3/2010 10:27,F,North,1,49,0.05,8,,
4G,74,9/3/2010 10:27,F,Central,1,58,0.03,6,,
landline,40,9/3/2010 10:27,F,North,0,79,0.00,9,,
phone,52,9/4/2010 10:27,M,North,1,36,0.04,3,,
fiber,52,9/5/2010 10:27,M,Central,4,62,0.11,5,,
phone,65,9/5/2010 10:27,M,Central,3,118,0.10,4,,
landline,70,9/5/2010 10:27,M,Central,1,116,0.04,7,,
phone,64,9/5/2010 10:27,F,Central,3,104,0.03,7,,
4G,44,9/5/2010 10:27,F,Central,1,82,0.02,8,,
4G,28,9/5/2010 10:27,M,Central,0,93,0.01,4,,
4G,47,9/6/2010 10:27,M,North,7,50,0.16,7,,
4G,27,9/6/2010 10:27,F,North,1,36,0.06,9,,
landline,33,9/6/2010 10:27,M,South,3,46,0.03,3,,
phone,42,9/7/2010 10:27,F,Central,7,42,0.13,9,,
fiber,75,9/7/2010 10:27,M,South,0,94,0.06,7,,
4G,68,9/7/2010 10:27,M,Central,0,48,0.40,2,,
4G,45,9/7/2010 10:27,M,North,0,37,0.03,7,,
4G,28,9/7/2010 10:27,F,North,0,71,0.01,7,,
4G,58,9/7/2010 10:27,F,South,0,92,0.01,8,,
4G,43,9/7/2010 10:27,M,South,0,110,0.01,6,,
landline,25,9/7/2010 10:27,M,North,0,98,0.00,7,,
4G,64,9/8/2010 10:27,M,North,7,37,0.22,5,,
fiber,77,9/8/2010 10:27,M,North,3,58,0.09,5,,
phone,76,9/8/2010 10:27,M,Central,1,63,0.05,7,,
landline,43,9/8/2010 10:27,F,Central,1,108,0.04,7,,
4G,35,9/8/2010 10:27,M,Central,0,35,0.03,7,,
landline,39,9/8/2010 10:27,M,South,4,69,0.02,6,,
4G,55,9/8/2010 10:27,F,Central,1,94,0.02,7,,
phone,22,9/8/2010 10:27,M,North,1,93,0.01,3,,
4G,42,9/9/2010 10:27,F,South,2,47,0.06,4,,
phone,49,9/9/2010 10:27,M,Central,1,36,0.04,3,,
fiber,29,9/9/2010 10:27,F,South,1,75,0.04,8,,
phone,33,9/9/2010 10:27,F,South,0,88,0.02,4,,
landline,26,9/9/2010 10:27,M,North,0,65,0.02,4,,
phone,26,9/9/2010 10:27,F,South,0,95,0.01,7,,
4G,71,9/10/2010 10:27,F,North,2,102,0.21,5,,
phone,28,9/10/2010 10:27,F,Central,6,95,0.05,3,,
4G,66,9/10/2010 10:27,F,North,0,31,0.05,4,,
phone,21,9/10/2010 10:27,M,South,0,90,0.01,3,,
landline,42,9/11/2010 10:27,M,Central,4,32,0.15,8,,
phone,62,9/11/2010 10:27,M,Central,0,54,0.01,4,,
phone,55,9/12/2010 10:27,M,Central,2,109,0.07,3,,
